variable;variable_old;text;info
q8;Q8;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID5""}"
q10;Q10;Wie alt sind Sie? (Angabe in Jahren);"{""ImportId"":""QID6_TEXT""}"
q16;Q16;Bitte nennen Sie uns Ihren höchsten bisher erreichten Bildungsabschluss:;"{""ImportId"":""QID9""}"
q12;Q12;Bitte geben Sie die Form Ihrer derzeit ausgeübten Tätigkeit an:;"{""ImportId"":""QID7""}"
q14;Q14;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld ihrer letzten Tätigkeit an. - Selected Choice;"{""ImportId"":""QID8""}"
q14_17_text;Q14_17_TEXT;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld ihrer letzten Tätigkeit an. - Sonstiges (bitte angeben) - Text;"{""ImportId"":""QID8_17_TEXT""}"
q72;Q72;Wie lange sind Sie in Ihrer aktuellen Jobposition bereits tätig? (Angabe in Jahren)Wenn Sie momentan nicht berufstätig sind, beziehen Sie sich bitte auf ihre letzte Jobposition.;"{""ImportId"":""QID109_TEXT""}"
q27;Q27;Wie viele Stunden arbeiten Sie durchschnittlich pro Woche?;"{""ImportId"":""QID24""}"
q29;Q29;Wie viele Mitarbeiter beschäftigt Ihr Arbeitgeber (Anzahl der Beschäftigen des Unternehmens)?;"{""ImportId"":""QID25_TEXT""}"
q41;Q41;Haben Sie die Möglichkeit, an einem anderen Ort als ihrem Standard-Arbeitsplatz zu arbeiten (z.B. Home-Office, Kundenbesuche, externe Meetings)?;"{""ImportId"":""QID115""}"
q42;Q42;Wie viele Arbeitstage pro Woche arbeiten Sie nicht von Ihrem Arbeitsplatz aus?;"{""ImportId"":""QID116""}"
q43_1;Q43_1;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Einige Aufgaben meines Jobs muss ich von unterwegs erfüllen, z.B. beim Kunden oder in Meetings.;"{""ImportId"":""QID117_1""}"
q43_2;Q43_2;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Mein Arbeitgeber setzt mich flexibel an vielen Orten ein.;"{""ImportId"":""QID117_2""}"
q43_3;Q43_3;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Meistens entscheidet mein Arbeitgeber, von wo aus ich arbeite.;"{""ImportId"":""QID117_3""}"
q43_4;Q43_4;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Einige Aufgaben meines Jobs darf ich an einem beliebigen Ort erfüllen, z.B. Zuhause oder in einem Coworking Café;"{""ImportId"":""QID117_4""}"
q43_5;Q43_5;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Ich kann flexibel von vielen Orten aus arbeiten.;"{""ImportId"":""QID117_5""}"
q43_6;Q43_6;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Meistens entscheide Ich selbst, von wo aus ich arbeite.;"{""ImportId"":""QID117_6""}"
q67;Q67;Mit welchen digitalen Endgeräten haben Sie im Arbeitsumfeld zu tun? (Mehrfachnennung möglich) - Selected Choice;"{""ImportId"":""QID106""}"
q67_7_text;Q67_7_TEXT;Mit welchen digitalen Endgeräten haben Sie im Arbeitsumfeld zu tun? (Mehrfachnennung möglich) - Sonstiges (bitte angeben) - Text;"{""ImportId"":""QID106_7_TEXT""}"
q53;Q53;Sind Sie in Ihrer beruflichen Laufbahn bereits in Kontakt mit unterschiedlichen IKTs getreten?;"{""ImportId"":""QID93""}"
q51_1;Q51_1;Bitte geben Sie die Häufigkeit ihrer Nutzung an. - Wie oft nutzen Sie in Ihrem Unternehmen  Informations- oder/und Kommunikationstechnologien, die Ihre Arbeit erleichtern sollen? (z.B. Firmeninterne Messenger-Dienste, Softwares, CRM Systeme, CMS Systeme, etc.);"{""ImportId"":""QID92_1""}"
q51_2;Q51_2;Bitte geben Sie die Häufigkeit ihrer Nutzung an. - Wie oft nutzen Sie Softwares, die es Ihnen erlauben, gemeinsam mit Ihren Kollegen/Geschäftspartnern an einem Dokument/Projekt zu arbeiten? (z.B. Google Docs, Hardware, o.ä.);"{""ImportId"":""QID92_2""}"
q57_1;Q57_1;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - Ich habe den Eindruck, dass Arbeitsprozesse durch IKTs erleichtert werden.;"{""ImportId"":""QID95_1""}"
q57_2;Q57_2;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - Ich habe den Eindruck, dass  Arbeitsprozesse durch IKTs beschleunigt werden.;"{""ImportId"":""QID95_2""}"
q57_3;Q57_3;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - Ich habe den Eindruck, dass ich durch IKTs in Entscheidungsprozesse mit eingebunden werde.;"{""ImportId"":""QID95_3""}"
q57_4;Q57_4;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - IKTs dienen in meinem Unternehmen dazu, Tätigkeiten aufzuteilen und an verschiedene Mitarbeiter weiterzugeben.;"{""ImportId"":""QID95_4""}"
q57_5;Q57_5;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - IKTs ermöglichen in meinem Unternehmen, die Ergebnisse der aufgeteilten Tätigkeiten zusammenzufügen.;"{""ImportId"":""QID95_5""}"
q38_1;Q38_1;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, privates und berufliches voneinander zu trennen.;"{""ImportId"":""QID79_1""}"
q38_2;Q38_2;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich bin mit meiner derzeitigen Arbeit zufrieden.;"{""ImportId"":""QID79_2""}"
q38_3;Q38_3;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mein Arbeitgeber unterstützt aktiv das mobile Arbeiten.;"{""ImportId"":""QID79_3""}"
q38_4;Q38_4;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Beim mobilen Arbeiten bin ich produktiver.;"{""ImportId"":""QID79_4""}"
q38_5;Q38_5;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mobiles Arbeiten stört die Effektivität der Arbeit.;"{""ImportId"":""QID79_5""}"
q38_6;Q38_6;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Digitalisierung verschlechtert Arbeitsprozesse.;"{""ImportId"":""QID79_6""}"
q38_7;Q38_7;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich muss oft zusätzliche Zeit über die formalen Stunden meines Jobs arbeiten.;"{""ImportId"":""QID79_7""}"
q38_8;Q38_8;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mit den Arbeitszeiten in meinem Beruf bin ich zufrieden.;"{""ImportId"":""QID79_8""}"
q38_9;Q38_9;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, morgens für den Job aufzustehen.;"{""ImportId"":""QID79_9""}"
q38_10;Q38_10;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Meine Arbeit macht mir Spaß.;"{""ImportId"":""QID79_10""}"
q38_11;Q38_11;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Flexibilität ist in meinem Arbeitsalltag sehr wichtig.;"{""ImportId"":""QID79_11""}"
q38_12;Q38_12;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Inhalte meiner Arbeit interessieren mich auch privat.;"{""ImportId"":""QID79_12""}"
q41_1;Q41_1;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - unzufrieden:zufrieden;"{""ImportId"":""QID114_1""}"
q41_2;Q41_2;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - gelangweilt:enthusiastisch;"{""ImportId"":""QID114_2""}"
q41_3;Q41_3;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - deprimiert:fröhlich;"{""ImportId"":""QID114_3""}"
q41_4;Q41_4;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - miserabel:hervorragend;"{""ImportId"":""QID114_4""}"
q44;Q44;Ich kann mir meine Arbeitszeit frei einteilen.;"{""ImportId"":""QID82""}"
q46_1;Q46_1;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Eine freie Einteilung der Arbeitszeit ermöglicht einen leichteren Alltag.;"{""ImportId"":""QID83_1""}"
q46_2;Q46_2;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Die Arbeit frei einzuteilen verbessert meine persönlichen Routinen.;"{""ImportId"":""QID83_3""}"
q46_3;Q46_3;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Um produktiv arbeiten zu können, benötige ich feste Strukturen.;"{""ImportId"":""QID83_4""}"
q46_4;Q46_4;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Durch Freiheiten bei der Einteilung der Arbeitszeit verliere ich schnell den Überblick über meinen tatsächlichen Arbeitsaufwand.;"{""ImportId"":""QID83_5""}"
q48_1;Q48_1;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich wurde in die von mir genutzten IKTs eingeführt.;"{""ImportId"":""QID89_1""}"
q48_2;Q48_2;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich kann die Systeme sicher bedienen.;"{""ImportId"":""QID89_2""}"
q48_3;Q48_3;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Die mir zur Verfügung gestellten Tools ermöglichen es mir, meine Arbeit gut zu erledigen.;"{""ImportId"":""QID89_3""}"
q48_4;Q48_4;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich bin mit den mir zur Verfügung stehenden IKTs vollkommen zufrieden.;"{""ImportId"":""QID89_4""}"
q48_5;Q48_5;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich habe das Gefühl, dass die IKTs zu meiner Arbeitszufriedenheit beitragen.;"{""ImportId"":""QID89_5""}"
q50_1;Q50_1;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich fühle mich in die Arbeitsprozesse vollständig integriert.;"{""ImportId"":""QID90_1""}"
q50_2;Q50_2;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich werde auch von unterwegs  in Arbeitsprozesse mit eingebunden.;"{""ImportId"":""QID90_2""}"
q50_3;Q50_3;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Mir fällt es schwer, mich mit der Unternehmenskultur zu identifizieren.;"{""ImportId"":""QID90_3""}"
q50_4;Q50_4;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Die genutzten Tools integrieren mich besser in die Arbeitsprozesse.;"{""ImportId"":""QID90_4""}"
q50_5;Q50_5;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Im Allgemeinen bin ich mit meiner Arbeit zufrieden.;"{""ImportId"":""QID90_5""}"
Q_RelevantIDDuplicate;Q_RelevantIDDuplicate;Q_RelevantIDDuplicate;"{""ImportId"":""Q_RelevantIDDuplicate""}"
Q_BallotBoxStuffing;Q_BallotBoxStuffing;Q_BallotBoxStuffing;"{""ImportId"":""Q_BallotBoxStuffing""}"
Q_RelevantIDDuplicateScore;Q_RelevantIDDuplicateScore;Q_RelevantIDDuplicateScore;"{""ImportId"":""Q_RelevantIDDuplicateScore""}"
Q_RelevantIDFraudScore;Q_RelevantIDFraudScore;Q_RelevantIDFraudScore;"{""ImportId"":""Q_RelevantIDFraudScore""}"
Q_TotalDuration;Q_TotalDuration;Q_TotalDuration;"{""ImportId"":""Q_TotalDuration""}"